pick_number,round_number,slot_in_round,draft_position,round_type
1,1,1,1,forward
2,1,2,2,forward
3,1,3,3,forward
4,1,4,4,forward
5,1,5,5,forward
6,1,6,6,forward
7,1,7,7,forward
8,1,8,8,forward
9,1,9,9,forward
10,1,10,10,forward
11,1,11,11,forward
12,1,12,12,forward
13,1,13,13,forward
14,1,14,14,forward
15,1,15,15,forward
16,1,16,16,forward
17,2,1,16,reverse
18,2,2,15,reverse
19,2,3,14,reverse
20,2,4,13,reverse
21,2,5,12,reverse
22,2,6,11,reverse
23,2,7,10,reverse
24,2,8,9,reverse
25,2,9,8,reverse
26,2,10,7,reverse
27,2,11,6,reverse
28,2,12,5,reverse
29,2,13,4,reverse
30,2,14,3,reverse
31,2,15,2,reverse
32,2,16,1,reverse
33,3,1,9,pivot
34,3,2,10,pivot
35,3,3,11,pivot
36,3,4,12,pivot
37,3,5,13,pivot
38,3,6,14,pivot
39,3,7,15,pivot
40,3,8,16,pivot
41,3,9,1,pivot
42,3,10,2,pivot
43,3,11,3,pivot
44,3,12,4,pivot
45,3,13,5,pivot
46,3,14,6,pivot
47,3,15,7,pivot
48,3,16,8,pivot
49,4,1,8,reverse_pivot
50,4,2,7,reverse_pivot
51,4,3,6,reverse_pivot
52,4,4,5,reverse_pivot
53,4,5,4,reverse_pivot
54,4,6,3,reverse_pivot
55,4,7,2,reverse_pivot
56,4,8,1,reverse_pivot
57,4,9,16,reverse_pivot
58,4,10,15,reverse_pivot
59,4,11,14,reverse_pivot
60,4,12,13,reverse_pivot
61,4,13,12,reverse_pivot
62,4,14,11,reverse_pivot
63,4,15,10,reverse_pivot
64,4,16,9,reverse_pivot
65,5,1,1,forward
66,5,2,2,forward
67,5,3,3,forward
68,5,4,4,forward
69,5,5,5,forward
70,5,6,6,forward
71,5,7,7,forward
72,5,8,8,forward
73,5,9,9,forward
74,5,10,10,forward
75,5,11,11,forward
76,5,12,12,forward
77,5,13,13,forward
78,5,14,14,forward
79,5,15,15,forward
80,5,16,16,forward
81,6,1,16,reverse
82,6,2,15,reverse
83,6,3,14,reverse
84,6,4,13,reverse
85,6,5,12,reverse
86,6,6,11,reverse
87,6,7,10,reverse
88,6,8,9,reverse
89,6,9,8,reverse
90,6,10,7,reverse
91,6,11,6,reverse
92,6,12,5,reverse
93,6,13,4,reverse
94,6,14,3,reverse
95,6,15,2,reverse
96,6,16,1,reverse
97,7,1,9,pivot
98,7,2,10,pivot
99,7,3,11,pivot
100,7,4,12,pivot
101,7,5,13,pivot
102,7,6,14,pivot
103,7,7,15,pivot
104,7,8,16,pivot
105,7,9,1,pivot
106,7,10,2,pivot
107,7,11,3,pivot
108,7,12,4,pivot
109,7,13,5,pivot
110,7,14,6,pivot
111,7,15,7,pivot
112,7,16,8,pivot
113,8,1,8,reverse_pivot
114,8,2,7,reverse_pivot
115,8,3,6,reverse_pivot
116,8,4,5,reverse_pivot
117,8,5,4,reverse_pivot
118,8,6,3,reverse_pivot
119,8,7,2,reverse_pivot
120,8,8,1,reverse_pivot
121,8,9,16,reverse_pivot
122,8,10,15,reverse_pivot
123,8,11,14,reverse_pivot
124,8,12,13,reverse_pivot
125,8,13,12,reverse_pivot
126,8,14,11,reverse_pivot
127,8,15,10,reverse_pivot
128,8,16,9,reverse_pivot
