rank,player,team,position,games_with_td_2025
1,Drake Maye,New England Patriots,QB,20
2,Matthew Stafford,Los Angeles Rams,QB,19
3,Trevor Lawrence,Jacksonville Jaguars,QB,17
3,Jared Goff,Detroit Lions,QB,17
5,Bo Nix,Denver Broncos,QB,16
5,Jalen Hurts,Philadelphia Eagles,QB,16
5,Baker Mayfield,Tampa Bay Buccaneers,QB,16
5,Caleb Williams,Chicago Bears,QB,16
9,Josh Allen,Buffalo Bills,QB,15
9,Sam Darnold,Seattle Seahawks,QB,15
9,Bryce Young,Carolina Panthers,QB,15
9,Justin Herbert,Los Angeles Chargers,QB,15
13,Aaron Rodgers,Pittsburgh Steelers,QB,14
14,Christian McCaffrey,San Francisco 49ers,RB,13
14,C.J. Stroud,Houston Texans,QB,13
14,Dak Prescott,Dallas Cowboys,QB,13
14,Kyren Williams,Los Angeles Rams,RB,13
18,Cam Ward,Tennessee Titans,QB,12
18,Jordan Love,Green Bay Packers,QB,12
18,Jacoby Brissett,Arizona Cardinals,QB,12
18,Daniel Jones,Indianapolis Colts,QB,12
22,Patrick Mahomes,Kansas City Chiefs,QB,11
22,Puka Nacua,Los Angeles Rams,WR,11
22,Geno Smith,Las Vegas Raiders,QB,11
22,Jaxson Dart,New York Giants,QB,11
26,Javonte Williams,Dallas Cowboys,RB,10
26,Zach Charbonnet,Seattle Seahawks,RB,10
26,Jaxon Smith-Njigba,Seattle Seahawks,WR,10
26,Travis Etienne Jr.,Jacksonville Jaguars,RB,10
26,De'Von Achane,Miami Dolphins,RB,10
26,Josh Jacobs,Green Bay Packers,RB,10
26,Tua Tagovailoa,Miami Dolphins,QB,10
26,Jahmyr Gibbs,Detroit Lions,RB,10
26,Jonathan Taylor,Indianapolis Colts,RB,10
26,Davante Adams,Los Angeles Rams,WR,10
36,RJ Harvey,Denver Broncos,RB,9
36,Lamar Jackson,Baltimore Ravens,QB,9
36,Jauan Jennings,San Francisco 49ers,WR,9
36,James Cook,Buffalo Bills,RB,9
36,Trey McBride,Arizona Cardinals,TE,9
36,D'Andre Swift,Chicago Bears,RB,9
36,Tee Higgins,Cincinnati Bengals,WR,9
36,Derrick Henry,Baltimore Ravens,RB,9
36,Bijan Robinson,Atlanta Falcons,RB,9
36,Brock Purdy,San Francisco 49ers,QB,9
36,Dallas Goedert,Philadelphia Eagles,TE,9
47,Tyler Shough,New Orleans Saints,QB,8
47,Joe Flacco,Cincinnati Bengals,QB,8
47,Saquon Barkley,Philadelphia Eagles,RB,8
47,George Pickens,Dallas Cowboys,WR,8
47,Courtland Sutton,Denver Broncos,WR,8
52,Colby Parkinson,Los Angeles Rams,TE,7
52,DJ Moore,Chicago Bears,WR,7
52,Hunter Henry,New England Patriots,TE,7
52,Tyler Allgeier,Atlanta Falcons,RB,7
52,David Montgomery,Detroit Lions,RB,7
52,Jameson Williams,Detroit Lions,WR,7
52,Amon-Ra St. Brown,Detroit Lions,WR,7
52,Quentin Johnston,Los Angeles Chargers,WR,7
52,AJ Barner,Seattle Seahawks,TE,7
52,Parker Washington,Jacksonville Jaguars,WR,7
52,DK Metcalf,Pittsburgh Steelers,WR,7
52,Michael Pittman Jr.,Indianapolis Colts,WR,7
52,Joe Burrow,Cincinnati Bengals,QB,7
52,Ashton Jeanty,Las Vegas Raiders,RB,7
52,J.J. McCarthy,Minnesota Vikings,QB,7
52,Dalton Kincaid,Buffalo Bills,TE,7
52,Bhayshul Tuten,Jacksonville Jaguars,RB,7
52,Chris Olave,New Orleans Saints,WR,7
52,Kareem Hunt,Kansas City Chiefs,RB,7
52,Marcus Mariota,Washington Commanders,QB,7
72,Harold Fannin Jr.,Cleveland Browns,TE,6
72,Jaylen Waddle,Miami Dolphins,WR,6
72,Rhamondre Stevenson,New England Patriots,RB,6
72,Kenneth Walker III,Seattle Seahawks,RB,6
72,Jacory Croskey-Merritt,Washington Commanders,RB,6
72,Ladd McConkey,Los Angeles Chargers,WR,6
72,Jaylen Warren,Pittsburgh Steelers,RB,6
72,Nico Collins,Houston Texans,WR,6
72,Justin Fields,New York Jets,QB,6
72,George Kittle,San Francisco 49ers,TE,6
72,Kirk Cousins,Atlanta Falcons,QB,6
72,Rico Dowdle,Carolina Panthers,RB,6
72,Michael Penix Jr.,Atlanta Falcons,QB,6
72,Deebo Samuel,Washington Commanders,WR,6
72,Isaac TeSlaa,Detroit Lions,WR,6
72,Ja'Marr Chase,Cincinnati Bengals,WR,6
72,Kayshon Boutte,New England Patriots,WR,6
72,Woody Marks,Houston Texans,RB,6
72,Jayden Daniels,Washington Commanders,QB,6
72,Jake Ferguson,Dallas Cowboys,TE,6
72,Kenneth Gainwell,Pittsburgh Steelers,RB,6
72,Chris Rodriguez Jr.,Washington Commanders,RB,6
72,Chase Brown,Cincinnati Bengals,HB,6
72,Mac Jones,San Francisco 49ers,QB,6
72,Michael Wilson,Arizona Cardinals,WR,6
72,Sean Tucker,Tampa Bay Buccaneers,RB,6
72,Jayden Higgins,Houston Texans,WR,6
99,Cam Skattebo,New York Giants,RB,5
99,Chimere Dike,Tennessee Titans,WR,5
