rank,player,team,position,pct_games_with_td_2025
1,Jared Goff,Detroit Lions,QB,100.0%
2,Drake Maye,New England Patriots,QB,95.2%
3,Matthew Stafford,Los Angeles Rams,QB,95.0%
4,Trevor Lawrence,Jacksonville Jaguars,QB,94.4%
5,Baker Mayfield,Tampa Bay Buccaneers,QB,94.1%
5,Jalen Hurts,Philadelphia Eagles,QB,94.1%
7,Daniel Jones,Indianapolis Colts,QB,92.3%
8,Bo Nix,Denver Broncos,QB,88.9%
9,Justin Herbert,Los Angeles Chargers,QB,88.2%
9,Bryce Young,Carolina Panthers,QB,88.2%
11,Joe Burrow,Cincinnati Bengals,QB,87.5%
12,Jacoby Brissett,Arizona Cardinals,QB,85.7%
13,Caleb Williams,Chicago Bears,QB,84.2%
14,Aaron Rodgers,Pittsburgh Steelers,QB,82.4%
15,Brock Purdy,San Francisco 49ers,QB,81.8%
16,C.J. Stroud,Houston Texans,QB,81.3%
17,Josh Allen,Buffalo Bills,QB,79.0%
18,Patrick Mahomes,Kansas City Chiefs,QB,78.6%
18,Jaxson Dart,New York Giants,QB,78.6%
20,Dak Prescott,Dallas Cowboys,QB,76.5%
21,Jordan Love,Green Bay Packers,QB,75.0%
21,Sam Darnold,Seattle Seahawks,QB,75.0%
23,Geno Smith,Las Vegas Raiders,QB,73.3%
24,Tyler Shough,New Orleans Saints,QB,72.7%
25,Tua Tagovailoa,Miami Dolphins,QB,71.4%
26,Cam Ward,Tennessee Titans,QB,70.6%
27,J.J. McCarthy,Minnesota Vikings,QB,70.0%
28,Lamar Jackson,Baltimore Ravens,QB,69.2%
29,Christian McCaffrey,San Francisco 49ers,RB,68.4%
30,Justin Fields,New York Jets,QB,66.7%
30,Michael Penix Jr.,Atlanta Falcons,QB,66.7%
32,Kyren Williams,Los Angeles Rams,RB,65.0%
33,Marcus Mariota,Washington Commanders,QB,63.6%
34,De'Von Achane,Miami Dolphins,RB,62.5%
34,Cam Skattebo,New York Giants,RB,62.5%
34,Josh Jacobs,Green Bay Packers,RB,62.5%
34,Javonte Williams,Dallas Cowboys,RB,62.5%
34,Tucker Kraft,Green Bay Packers,TE,62.5%
34,Shedeur Sanders,Cleveland Browns,QB,62.5%
40,Joe Flacco,Cincinnati Bengals,QB,61.5%
41,Tee Higgins,Cincinnati Bengals,WR,60.0%
41,Kirk Cousins,Atlanta Falcons,QB,60.0%
43,Jonathan Taylor,Indianapolis Colts,RB,58.8%
43,Davante Adams,Los Angeles Rams,WR,58.8%
43,Jahmyr Gibbs,Detroit Lions,RB,58.8%
43,Zach Charbonnet,Seattle Seahawks,RB,58.8%
47,Puka Nacua,Los Angeles Rams,WR,57.9%
48,Dallas Goedert,Philadelphia Eagles,TE,56.3%
49,Spencer Rattler,New Orleans Saints,QB,55.6%
49,Travis Etienne Jr.,Jacksonville Jaguars,RB,55.6%
51,Trey McBride,Arizona Cardinals,TE,52.9%
51,Bijan Robinson,Atlanta Falcons,RB,52.9%
51,Jauan Jennings,San Francisco 49ers,WR,52.9%
51,Derrick Henry,Baltimore Ravens,RB,52.9%
55,Rashee Rice,Kansas City Chiefs,WR,50.0%
55,Omarion Hampton,Los Angeles Chargers,RB,50.0%
55,Tory Horton,Seattle Seahawks,WR,50.0%
55,Mac Jones,San Francisco 49ers,QB,50.0%
55,D'Andre Swift,Chicago Bears,RB,50.0%
55,George Kittle,San Francisco 49ers,TE,50.0%
55,Jaxon Smith-Njigba,Seattle Seahawks,WR,50.0%
55,Dalton Kincaid,Buffalo Bills,TE,50.0%
63,James Cook,Buffalo Bills,RB,47.4%
63,RJ Harvey,Denver Broncos,RB,47.4%
65,Saquon Barkley,Philadelphia Eagles,RB,47.1%
65,George Pickens,Dallas Cowboys,WR,47.1%
67,Quentin Johnston,Los Angeles Chargers,WR,46.7%
68,Chris Rodriguez Jr.,Washington Commanders,RB,46.2%
69,Christian Watson,Green Bay Packers,WR,45.5%
70,Darren Waller,Miami Dolphins,TE,44.4%
71,DK Metcalf,Pittsburgh Steelers,WR,43.8%
71,Bhayshul Tuten,Jacksonville Jaguars,RB,43.8%
71,Chris Olave,New Orleans Saints,WR,43.8%
74,Courtland Sutton,Denver Broncos,WR,42.1%
75,Drake London,Atlanta Falcons,WR,41.7%
75,Bam Knight,Arizona Cardinals,RB,41.7%
77,Parker Washington,Jacksonville Jaguars,WR,41.2%
77,Tyler Allgeier,Atlanta Falcons,RB,41.2%
77,Kareem Hunt,Kansas City Chiefs,RB,41.2%
77,Michael Pittman Jr.,Indianapolis Colts,WR,41.2%
77,Amon-Ra St. Brown,Detroit Lions,WR,41.2%
77,Jameson Williams,Detroit Lions,WR,41.2%
77,Ashton Jeanty,Las Vegas Raiders,RB,41.2%
77,David Montgomery,Detroit Lions,RB,41.2%
85,J.K. Dobbins,Denver Broncos,RB,40.0%
85,Bucky Irving,Tampa Bay Buccaneers,RB,40.0%
85,Dillon Gabriel,Cleveland Browns,QB,40.0%
88,Colby Parkinson,Los Angeles Rams,TE,38.9%
89,Harold Fannin Jr.,Cleveland Browns,TE,37.5%
89,Jaylen Waddle,Miami Dolphins,WR,37.5%
89,Mike Evans,Tampa Bay Buccaneers,WR,37.5%
89,Deebo Samuel,Washington Commanders,WR,37.5%
89,Ja'Marr Chase,Cincinnati Bengals,WR,37.5%
89,Nico Collins,Houston Texans,WR,37.5%
95,DJ Moore,Chicago Bears,WR,36.8%
96,Rome Odunze,Chicago Bears,WR,35.7%
97,Isaac TeSlaa,Detroit Lions,WR,35.3%
97,Sean Tucker,Tampa Bay Buccaneers,RB,35.3%
97,Ladd McConkey,Los Angeles Chargers,WR,35.3%
97,Jacory Croskey-Merritt,Washington Commanders,RB,35.3%
