Rank,Team,FG Attempts
1,Houston,2.9
2,Seattle,2.8
3,Dallas,2.5
3,New Orleans,2.5
5,LA Chargers,2.3
6,Atlanta,2.3
7,Chicago,2.3
8,Tampa Bay,2.2
8,Kansas City,2.2
10,Indianapolis,2.1
10,Tennessee,2.1
12,Minnesota,2.1
13,San Francisco,2.1
14,Green Bay,2
14,Baltimore,2
14,Detroit,2
14,Jacksonville,2
14,Denver,2
19,Arizona,1.9
20,Pittsburgh,1.9
21,New England,1.8
22,Washington,1.8
23,NY Jets,1.7
23,Miami,1.7
25,LA Rams,1.7
26,Carolina,1.7
27,Cincinnati,1.6
28,Philadelphia,1.6
29,Las Vegas,1.6
29,Cleveland,1.6
31,NY Giants,1.5
32,Buffalo,1.4
