Rank,Team,RZ Attempts
1,LA Rams,4.4
2,Jacksonville,4
3,Indianapolis,3.9
4,Buffalo,3.8
5,Dallas,3.8
6,Detroit,3.8
7,Seattle,3.7
8,San Francisco,3.6
9,Arizona,3.6
10,Kansas City,3.5
10,NY Giants,3.5
10,Baltimore,3.5
13,Green Bay,3.4
14,New England,3.3
15,Chicago,3.3
15,Denver,3.3
17,LA Chargers,3.3
18,Houston,3.2
19,Cincinnati,3.2
20,Minnesota,3
21,Pittsburgh,2.9
22,Tampa Bay,2.9
22,Atlanta,2.9
24,Miami,2.8
25,Carolina,2.7
26,Washington,2.7
27,New Orleans,2.6
28,Philadelphia,2.6
29,NY Jets,2.2
29,Cleveland,2.2
31,Las Vegas,2.1
32,Tennessee,1.9
