rank,team,RZ Scoring %
1,Philadelphia,70.21%
2,Buffalo,67.12%
3,Cincinnati,66.67%
4,Washington,65.22%
4,San Francisco,65.22%
6,Indianapolis,65.15%
7,LA Rams,64.37%
8,Detroit,62.50%
8,Jacksonville,62.50%
10,Atlanta,62.00%
11,Green Bay,59.68%
12,Kansas City,57.63%
13,Tennessee,57.58%
14,Chicago,57.14%
14,Carolina,57.14%
16,Dallas,56.92%
17,Minnesota,56.86%
18,Pittsburgh,56.60%
19,Miami,56.25%
20,New England,55.71%
21,Denver,55.56%
22,Seattle,55.41%
23,Arizona,54.10%
24,Tampa Bay,54.00%
25,Cleveland,52.63%
26,Las Vegas,50.00%
27,NY Giants,47.46%
27,Baltimore,47.46%
29,Houston,45.90%
30,LA Chargers,45.76%
31,NY Jets,44.74%
32,New Orleans,44.44%
