Rank,Team,Kicking PPG
1,Seattle,10.3
2,Houston,10
3,Dallas,9.1
4,Indianapolis,8.5
5,LA Chargers,8.4
6,Chicago,8.3
7,Jacksonville,8.1
8,Detroit,7.9
9,San Francisco,7.9
10,Baltimore,7.9
11,LA Rams,7.8
12,Kansas City,7.6
12,Minnesota,7.6
14,Tampa Bay,7.5
15,Atlanta,7.5
16,Denver,7.3
17,New England,7.3
18,Pittsburgh,7.2
19,Green Bay,7
20,New Orleans,6.9
21,Cincinnati,6.8
22,Miami,6.8
23,Tennessee,6.7
24,Buffalo,6.6
25,Arizona,6.5
26,NY Jets,6.2
27,NY Giants,6.2
28,Philadelphia,6
28,Washington,6
30,Carolina,5.9
31,Cleveland,5.7
32,Las Vegas,5.1
