Rank,Team,Opp PPG
1,Seattle,16.9
2,Houston,17.3
3,New England,17.9
4,Denver,18.5
5,Kansas City,19.3
6,Philadelphia,19.3
7,Minnesota,19.6
8,LA Chargers,19.8
9,Jacksonville,20.2
10,LA Rams,21.3
11,Green Bay,21.7
12,Buffalo,22.2
13,Cleveland,22.3
14,New Orleans,22.5
15,San Francisco,22.7
16,Carolina,23
17,Pittsburgh,23.2
18,Baltimore,23.4
19,Atlanta,23.6
20,Tampa Bay,24.2
21,Indianapolis,24.2
22,Detroit,24.3
23,Chicago,24.3
24,Miami,24.9
25,Las Vegas,25.4
26,NY Giants,25.8
27,Washington,26.5
28,Tennessee,28.1
29,Arizona,28.7
30,Cincinnati,28.9
31,NY Jets,29.6
32,Dallas,30.1
