Rank,Team,2025 ppg
1,LA Rams,30
2,Seattle,29.2
3,Buffalo,28.3
4,Detroit,28.3
5,Dallas,27.7
6,Jacksonville,27.7
7,Indianapolis,27.4
8,New England,26.5
9,Chicago,25.7
10,Baltimore,24.9
11,San Francisco,24.5
12,Cincinnati,24.4
13,Houston,23.7
14,Green Bay,23.2
15,Denver,23.2
16,NY Giants,22.4
17,Pittsburgh,22.4
18,Tampa Bay,22.4
19,Philadelphia,22.1
20,Kansas City,21.3
21,Washington,20.9
22,Arizona,20.9
23,Atlanta,20.8
24,LA Chargers,20.6
25,Miami,20.4
26,Minnesota,20.2
27,Carolina,19
28,New Orleans,18
29,NY Jets,17.6
30,Tennessee,16.7
31,Cleveland,16.4
32,Las Vegas,14.2
