rank,Team,ppg
1,Rams,26.7
2,Bills,26.1
3,Lions,26.1
4,Bengals,26
5,Ravens,25.9
6,Cowboys,25.7
7,49ers,25
8,Packers,24.8
9,Seahawks,24.8
10,Bears,24.6
11,Chiefs,24.1
12,Chargers,23.8
13,Patriots,23.8
14,Eagles,23.8
15,Jaguars,23.5
16,Commanders,23.5
17,Colts,23.4
18,Buccaneers,23.3
19,Texans,22.5
20,Vikings,22.4
21,Broncos,22.3
22,Giants,22.1
23,Saints,21.5
24,Steelers,21.4
25,Falcons,21.2
26,Panthers,20.8
27,Titans,20.6
28,Raiders,19.2
29,Dolphins,19
30,Browns,18.7
31,Jets,18.5
32,Cardinals,18.4
